,movie_title,year,place,star_cast,rating,vote,link
122, Taare Zameen Par,2007,123,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.218830879948293,,/title/tt0986264/
123, Batman Begins,2005,124,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.217611663630986,,/title/tt0372784/
124, La muerte tenía un precio,1965,125,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.212390145805486,,/title/tt0059578/
125, Dangal,2016,126,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.211665801101441,,/title/tt5074352/
126, El hundimiento,2004,127,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.21107938108617,,/title/tt0363163/
127, El chico,1921,128,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.202004170697501,,/title/tt0012349/
128, Con faldas y a lo loco,1959,129,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.197981848570599,,/title/tt0053291/
129, El padre,2020,130,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.1908784316124,,/title/tt10272386/
130, Eva al desnudo,1950,131,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.185022358866307,,/title/tt0042192/
131, Green Book,2018,132,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.180918937930533,,/title/tt6966692/
132, El lobo de Wall Street,2013,133,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.180176018622536,,/title/tt0993846/
133, Sin perdón,1992,134,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.173061729201814,,/title/tt0105695/
134, Casino,1995,135,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.172530620464748,,/title/tt0112641/
135, El laberinto del fauno,2006,136,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.172336008823908,,/title/tt0457430/
136, Vencedores o vencidos,1961,137,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.1716814675964,,/title/tt0055031/
137, Ran,1985,138,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.167027301535894,,/title/tt0089881/
138, Una mente maravillosa,2001,139,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.163433994259675,,/title/tt0268978/
139, El sexto sentido,1999,140,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.161402504155511,,/title/tt0167404/
140, Los caballeros de la mesa cuadrada y sus locos seguidores,1975,141,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.161339758109676,,/title/tt0071853/
141, Pozos de ambición,2007,142,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.159102375161424,,/title/tt0469494/
142, El show de Truman,1998,143,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.156563519163306,,/title/tt0120382/
143, Yojimbo,1961,144,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.15462573272435,,/title/tt0055630/
144, El tesoro de Sierra Madre,1948,145,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.153015418898011,,/title/tt0040897/
145, Shutter Island,2010,146,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.150664505825652,,/title/tt1130884/
146, La gran evasión,1963,147,"John Sturges (dir.), Steve McQueen, James Garner",8.15017686765364,,/title/tt0057115/
147, Rashomon,1950,148,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.148694222885398,,/title/tt0042876/
148, Jurassic Park (Parque Jurásico),Parque Jurásico,149,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.145141852998005,,/title/tt0107290/
